Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index
MB 7082,70362,PICL02,WORKING,20001171526,2024-04-23,YES,US,NO,115
MB 7082,70362,PICL02,WORKING,20001171639,2024-04-27,YES,US,NO,115
MB 7082,70379,PICL02,WORKING,20001171568,2024-04-25,YES,US,NO,113
MB 7082,70404,PICL02,WORKING,20001171637,2024-04-27,YES,US,NO,112
MB 7082,70400,PICL02,WORKING,20001171523,2024-04-23,YES,US,NO,109
MB 7082,70405,PICL02,WORKING,20001171638,2024-04-27,YES,US,NO,109
MB 7082,70405,PICL02,WORKING,20001171521,2024-04-23,YES,US,NO,109
MB 7082,70398,PICL02,WORKING,20001171527,2024-04-23,YES,US,NO,108
MB 7082,70402,PICL02,WORKING,20001171529,2024-04-23,YES,US,NO,107
MB 7082,70492,PICL03,WORKING,20001171536,2024-04-24,YES,US,YES,174
MB 7082,70430,PICL03,WORKING,20001171467,2024-04-22,YES,US,YES,170
MB 7082,64433,PICL03,WORKING,20001171535,2024-04-24,YES,US,YES,158
MB 7082,70494,PICL03,WORKING,20001171468,2024-04-22,YES,US,YES,158
MB 7082,70490,PICL03,WORKING,20001171469,2024-04-22,YES,US,YES,157
MB 7082,70403,PICL03,WORKING,20001171581,2024-04-26,YES,US,YES,154
MB 7082,70456,PICL03,WORKING,20001171578,2024-04-26,YES,US,YES,154
MB 7082,70491,PICL03,WORKING,20001171471,2024-04-22,YES,US,YES,150
MB 7082,70466,PICL03,WORKING,20001171583,2024-04-26,YES,US,YES,149
MB 7082,70493,PICL03,WORKING,20001171472,2024-04-22,YES,US,YES,148
MB 7082,70482,PICL03,WORKING,20001171579,2024-04-26,YES,TR,NO,144
MB 7082,70487,PICL03,WORKING,20001171470,2024-04-22,YES,US,YES,144
MB 7082,70484,PICL03,WORKING,20001171585,2024-04-26,YES,US,YES,141
MB 7082,70372,PICL03,WORKING,20001171582,2024-04-26,YES,US,YES,137
MB 7082,70436,PICL03,WORKING,20001171584,2024-04-26,YES,US,YES,135
MB 7082,64435,PICL03,WORKING,20001171522,2024-04-23,YES,US,NO,133
MB 7082,70338,PICL03,WORKING,20001171586,2024-04-26,YES,US,YES,133
MB 7082,70488,PICL03,WORKING,20001171537,2024-04-24,YES,US,YES,133
MB 7082,70485,PICL03,WORKING,20001171519,2024-04-23,YES,US,NO,131
MB 7082,70489,PICL03,WORKING,20001171643,2024-04-28,YES,US,NO,130
MB 7082,70470,PICL03,WORKING,20001171570,2024-04-25,YES,US,NO,127
MB 7082,70308,PICL03,WORKING,20001171575,2024-04-25,YES,US,NO,123
MB 7082,2112837,SPG240,WORKING,20001171503,2024-04-22,YES,US,YES,116.58107397984246
MB 7082,2113190,SPG240,WORKING,20001171508,2024-04-22,YES,US,YES,115.86836555423315
MB 7082,2113202,SPG240,WORKING,20001171473,2024-04-22,YES,US,YES,115.77887371580636
MB 7082,2079778,SPG240,WORKING,20001171474,2024-04-22,YES,US,YES,114.25080722027221
