Boar Stud,Inventory,Target,Inventory to target,boars,dist,actual,WeekCommencing,target,Missed Index,yrwk,Average Days Rest,Standard Deviation,Total Boars Culled,% Boars Culled in Bottom 25%,Total Boars,Boars Trained Within 14 Days,Percent Trained,% Boars Distributed,Average Inventory,rate,IScore,TScore,DScore,BScore,Total,wk,qt,yr,Month
MB 7092,583,600,97.16666667,584,568,123.6996391,3/9/1949,123.7624322,0.062793141,201911,5.738095238,1.972074593,0,0,190,186,97.89473684,97.26027397,0,0,3,2,2,3,10,11,1,2019,March
MB 7093,451,500,90.2,452,449,123.5435104,3/9/1949,123.5542679,0.010757546,201911,5.115555556,0.905306198,0,0,90,88,97.77777778,99.33628319,0,0,3,3,2,3,11,11,1,2019,March
MBW Cimarron,207,200,103.5,167,101,124.6686729,3/9/1949,124.7952988,0.126625912,201911,7.257575758,0.91202802,0,0,80,70,87.5,60.47904192,0,0,3,1,3,2,9,11,1,2019,March
MBW Cyclone,192,200,96,176,169,124.2255738,3/9/1949,124.252697,0.027123163,201911,6.863874346,1.124981247,0,0,99,76,76.76767677,96.02272727,0,0,3,3,3,1,10,11,1,2019,March
MBW Illinois,33,40,82.5,24,22,234.0093972,3/9/1949,235.053777,1.044379878,201911,8,2.591193878,0,0,30,19,63.33333333,91.66666667,0,0,1,0,3,0,4,11,1,2019,March
MBW Yuma,192,210,91.42857143,163,124,124.2444022,3/9/1949,124.2687758,0.024373607,201911,7.227272727,0.609023063,0,0,39,37,94.87179487,76.07361963,0,0,3,3,3,3,12,11,1,2019,March
Princeton,442,428,103.271028,407,316,124.3828193,3/9/1949,124.6302667,0.247447378,201911,8.676165803,3.141064724,0,0,167,61,36.52694611,77.64127764,0,0,3,0,2,0,5,11,1,2019,March
Skyline Boar Stud,388,365,106.3013699,331,202,123.6122548,3/9/1949,124.1412817,0.529026979,201911,9.196078431,6.257026311,0,0,96,15,15.625,61.02719033,0,0,3,0,1,0,4,11,1,2019,March
SPGVA,261,292,89.38356164,109,91,126.0456899,3/9/1949,126.4093741,0.363684267,201911,6.766304348,1.637923327,0,0,115,25,21.73913043,83.48623853,0,0,2,0,3,0,5,11,1,2019,March
SPGNC,220,220,100,91,45,126.8592146,3/9/1949,127.1744606,0.315246014,201911,8.463414634,2.908397497,0,0,118,107,90.6779661,49.45054945,0,0,3,0,2,3,8,11,1,2019,March
