Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index,Target,SelDate,UnSelDate
SPGNC,9332H,SPG110,WORKING,20001149006,2021-03-08,YES,US,NO,117.79183605230321,NA,NA,NA
SPGNC,9368G,SPG120,WORKING,20001149042,2021-03-09,YES,US,NO,97.22037666275267,NA,NA,NA
SPGNC,9368H,SPG110,WORKING,20001149041,2021-03-09,YES,US,NO,109.70706237580502,NA,NA,NA
SPGNC,9398H,SPG110,WORKING,20001149063,2021-03-10,YES,US,NO,116.31884815839344,NA,NA,NA
SPGNC,9403B,SPG240,WORKING,20001149192,2021-03-14,YES,US,YES,110.82026856496282,NA,NA,NA
SPGVA,9407E,SPG120,WORKING,20001175271,2021-03-14,YES,US,YES,106.16977690972297,CTH,2021-02-22,NA
SPGVA,9416D,SPG120,WORKING,20001175130,2021-03-08,YES,US,NO,100.17113441349929,NA,NA,NA
SPGNC,9456D,SPG110,WORKING,20001149066,2021-03-10,YES,US,NO,112.59084234375636,NA,NA,NA
SPGVA,9499A,SPG240,WORKING,20001175247,2021-03-11,YES,TR,NO,109.3236654218833,CTH,2020-11-02,NA
SPGVA,9502J,SPG240,WORKING,20001175279,2021-03-14,YES,TR,NO,123.93834562919065,Nuc/CTH,2021-02-22,NA
SPGNC,9503J,SPG240,WORKING,20001149095,2021-03-11,YES,TR,NO,125.00302400427788,Nuc/CTH,2021-02-15,NA
SPGNC,9606B,SPG240,WORKING,20001149030,2021-03-09,YES,US,YES,109.64591863337667,NA,NA,NA
SPGNC,9609A,SPG240,WORKING,20001148985,2021-03-08,YES,US,NO,100.2492343283823,NA,NA,NA
SPGVA,9613F,SPG240,WORKING,20001175191,2021-03-09,YES,US,NO,95.92368584520764,NA,NA,NA
SPGVA,9643G,SPG120,WORKING,20001175265,2021-03-14,YES,US,YES,112.38569818459084,CTH,2020-12-28,NA
SPGNC,9662J,SPG110,WORKING,20001149132,2021-03-11,YES,TR,NO,111.55733806986402,Nucleus,2021-02-22,NA
SPGNC,9770E,SPG110,WORKING,20001149065,2021-03-10,YES,US,NO,112.87113048537738,NA,NA,NA
MB 7092,9794F,SPG240,WORKING,20001337330,2021-03-08,YES,US,YES,112.66348565499274,NA,NA,NA
MB 7092,9795F,SPG240,WORKING,20001337621,2021-03-14,YES,US,YES,110.82251033102396,NA,NA,NA
