Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index
MB 7092,5264H,SPG240,WORKING,20001336776,2021-02-25,YES,US,YES,104.41422271258585
MB 7092,913B6,SPG240,WORKING,20001336686,2021-02-24,YES,TR,NO,104.38918102041234
MB 7092,2336J,SPG240,WORKING,20001336852,2021-02-26,YES,TR,NO,104.3556654958684
MB 7092,2306G,SPG240,NONWORKING,20001336660,2021-02-23,YES,TR,NO,104.3305019082077
MB 7092,7351G,SPG240,WORKING,20001336942,2021-02-28,YES,US,YES,104.1628660809092
MB 7092,7351G,SPG240,WORKING,20001336859,2021-02-26,YES,US,YES,104.1628660809092
MB 7092,2522A,SPG240,WORKING,20001336857,2021-02-26,YES,US,YES,104.14493233226803
MB 7092,4069B,SPG240,WORKING,20001336864,2021-02-26,YES,US,YES,104.07997231319119
MB 7092,4069B,SPG240,WORKING,20001336945,2021-02-28,YES,TR,NO,104.07997231319119
MB 7092,1116C,SPG240,WORKING,20001336609,2021-02-22,YES,US,YES,104.00068155793618
MB 7092,8298C,SPG240,WORKING,20001336876,2021-02-28,YES,US,YES,103.78274576632529
MB 7092,4568F,SPG240,WORKING,20001336677,2021-02-24,YES,US,YES,103.7821155947571
MB 7092,379J6,SPG240,WORKING,20001336866,2021-02-26,YES,US,YES,103.74368662803869
MB 7092,6618F,SPG240,WORKING,20001336865,2021-02-26,YES,US,YES,103.68368203122759
MB 7092,6618F,SPG240,WORKING,20001336943,2021-02-28,YES,US,YES,103.68368203122759
MB 7092,4090B,SPG240,WORKING,20001336890,2021-02-28,YES,US,YES,103.63293933205647
MB 7092,2263C,SPG240,WORKING,20001336889,2021-02-28,YES,US,YES,103.56174087470431
MB 7092,2358C,SPG240,WORKING,20001336607,2021-02-22,YES,US,YES,103.5484297975352
MB 7092,2968F,SPG240,WORKING,20001336767,2021-02-25,YES,US,YES,102.96866466575854
MB 7092,5187H,SPG240,WORKING,20001336605,2021-02-22,YES,US,YES,102.96493649004238
MB 7092,2337C,SPG240,WORKING,20001336892,2021-02-28,YES,US,YES,102.64936680624709
MB 7092,234G4,SPG240,WORKING,20001336853,2021-02-26,YES,US,YES,102.63071672084588
MB 7092,3247F,SPG240,WORKING,20001336872,2021-02-28,YES,US,YES,102.51781379814135
MB 7092,1850J,SPG240,WORKING,20001336894,2021-02-28,YES,US,YES,102.34466385070272
MB 7092,1851J,SPG240,WORKING,20001336887,2021-02-28,YES,US,YES,102.27790179163604
MB 7092,7741G,SPG240,WORKING,20001336910,2021-02-28,YES,US,YES,102.233174696605
MB 7092,4192B,SPG240,WORKING,20001336637,2021-02-23,YES,US,YES,102.06584313328354
MB 7092,4114B,SPG240,WORKING,20001336906,2021-02-28,YES,US,YES,101.94091082597367
MB 7092,4202B,SPG240,WORKING,20001336896,2021-02-28,YES,US,YES,101.90263976271802
MB 7092,2069G,SPG240,WORKING,20001336903,2021-02-28,YES,US,YES,101.75371076261581
MB 7092,8409C,SPG240,WORKING,20001336854,2021-02-26,YES,US,YES,101.67825514478307
MB 7092,7153C,SPG240,WORKING,20001336898,2021-02-28,YES,US,YES,101.67571027074933
MB 7092,2148G,SPG240,WORKING,20001336698,2021-02-24,YES,US,YES,101.54001497117119
MB 7092,590J6,SPG240,NONWORKING,20001336647,2021-02-23,YES,TR,NO,101.47735010544436
MB 7092,4197B,SPG240,WORKING,20001336699,2021-02-24,YES,US,YES,101.42544613812889
MB 7092,791H9,SPG240,WORKING,20001336834,2021-02-26,YES,US,YES,101.3683412118765
MB 7092,369G4,SPG240,WORKING,20001336837,2021-02-26,YES,US,YES,101.25721796596726
MB 7092,1108J,SPG240,WORKING,20001336697,2021-02-24,YES,US,YES,101.19964685894853
MB 7092,6080G,SPG240,WORKING,20001336913,2021-02-28,YES,US,YES,101.18749754245539
MB 7092,6469F,SPG240,WORKING,20001336897,2021-02-28,YES,US,YES,101.01531020051904
MB 7092,8422C,SPG240,NONWORKING,20001336657,2021-02-23,YES,TR,NO,101.00891752455765
MB 7092,5325B,SPG240,WORKING,20001336909,2021-02-28,YES,US,YES,100.94565430907475
MB 7092,2004670,SPG240,WORKING,20001336902,2021-02-28,YES,US,YES,100.90137681779645
MB 7092,3395F,SPG240,WORKING,20001336888,2021-02-28,YES,US,YES,100.8933790301916
MB 7092,4261G,SPG240,WORKING,20001336917,2021-02-28,YES,US,YES,100.8861435957979
MB 7092,8270C,SPG240,WORKING,20001336844,2021-02-26,YES,US,YES,100.87806716104946
MB 7092,5288H,SPG240,WORKING,20001336789,2021-02-25,YES,US,YES,100.8527778308545
