Boar Stud.x,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,Boar Stud.y,Collnum,Col_Date,Tech,Ext_Name,Tot_Ext_Vol,Used_Doses,Dose_Actual,Collection Status,Sperm_Conc,Tot_Sperm,Sem_Vol_Used,TRCODE,Motility,Ext_Batch_Num,EBV,Boar Stud,cutoff,train
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001093377,2020-11-17,S,PRIMXCELL,0,23.6,23.69,US,0.524,54.49,104,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001093524,2020-11-24,G,PRIMXCELL,0,32,32.2,US,0.374,74.05,198,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001093868,2020-12-08,O,PRIMXCELL,0,26.2,26.25,US,0.487,60.38,124,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001093697,2020-12-01,S,PRIMXCELL,0,32.5,32.69,US,0.42,75.18,179,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001094085,2020-12-18,O,NUTRIXCELL,NA,0,0,TR,0.4,29.6,74,22,80,NA,109,Clinton,2020-10-08,0
Clinton,4484H,SPG240,CULLED,2020-09-24,2020-11-09,7,104.30939971571354,Clinton,20001092937,2020-10-27,W,PRIMXCELL,NA,0,0,TR,0.2,23.6,118,25,40,NA,102.22,Clinton,2020-10-08,0
Clinton,4484H,SPG240,CULLED,2020-09-24,2020-11-09,7,104.30939971571354,Clinton,20001092761,2020-10-20,W,PRIMXCELL,NA,0,0,TR,0.2,19.6,98,25,40,NA,102.22,Clinton,2020-10-08,0
Clinton,4484H,SPG240,CULLED,2020-09-24,2020-11-09,7,104.30939971571354,Clinton,20001092229,2020-09-29,W,PRIMXCELL,NA,0,0,TR,0.2,60.4,302,25,10,NA,102.22,Clinton,2020-10-08,1
Clinton,4484H,SPG240,CULLED,2020-09-24,2020-11-09,7,104.30939971571354,Clinton,20001092408,2020-10-06,G,PRIMXCELL,NA,0,0,TR,0.2,20,100,25,40,NA,102.22,Clinton,2020-10-08,1
Clinton,4628H,SPG240,CULLED,2020-09-24,2020-11-09,7,110.2558876452944,Clinton,20001092734,2020-10-20,W,PRIMXCELL,NA,0,0,TR,0.363,52.99,146,25,60,NA,110.11,Clinton,2020-10-08,0
Clinton,4628H,SPG240,CULLED,2020-09-24,2020-11-09,7,110.2558876452944,Clinton,20001092935,2020-10-27,W,PRIMXCELL,NA,0,0,TR,0.3,32.4,108,25,60,NA,110.11,Clinton,2020-10-08,0
Clinton,4628H,SPG240,CULLED,2020-09-24,2020-11-09,7,110.2558876452944,Clinton,20001092565,2020-10-13,S,PRIMXCELL,NA,0,0,TR,0.411,34.52,84,25,60,NA,110.11,Clinton,2020-10-08,0
Clinton,4628H,SPG240,CULLED,2020-09-24,2020-11-09,7,110.2558876452944,Clinton,20001092194,2020-09-28,W,NUTRIXCELL,NA,0,0,TR,0.295,45.13,153,25,50,NA,110.11,Clinton,2020-10-08,1
Clinton,4730H,SPG240,CULLED,2020-09-24,2021-02-01,7,108.05612940181994,Clinton,20001092283,2020-10-01,W,PRIMXCELL,0,24.2,24.27,US,0.328,48.54,148,NA,80,NA,107.16,Clinton,2020-10-08,1
Clinton,4730H,SPG240,CULLED,2020-09-24,2021-02-01,7,108.05612940181994,Clinton,20001092426,2020-10-08,W,PRIMXCELL,0,32.7,32.85,US,0.441,65.7,149,NA,80,NA,107.16,Clinton,2020-10-08,1
Clinton,4730H,SPG240,CULLED,2020-09-24,2021-02-01,7,108.05612940181994,Clinton,20001092686,2020-10-16,W,PRIMXCELL,0,31.2,31.24,US,0.508,62.48,123,NA,85,NA,107.16,Clinton,2020-10-08,0
Clinton,4730H,SPG240,CULLED,2020-09-24,2021-02-01,7,108.05612940181994,Clinton,20001093070,2020-11-03,W,PRIMXCELL,NA,0,0,TR,0.458,80.6,176,25,60,NA,107.16,Clinton,2020-10-08,0
Clinton,4730H,SPG240,CULLED,2020-09-24,2021-02-01,7,108.05612940181994,Clinton,20001092858,2020-10-23,G,NUTRIXCELL,0,19.6,19.69,US,0.458,39.38,86,NA,85,NA,107.16,Clinton,2020-10-08,0
Clinton,4730H,SPG240,CULLED,2020-09-24,2021-02-01,7,108.05612940181994,Clinton,20001093229,2020-11-10,W,PRIMXCELL,0,44.7,44.75,US,0.575,102.92,179,NA,70,NA,107.16,Clinton,2020-10-08,0
Clinton,4730H,SPG240,CULLED,2020-09-24,2021-02-01,7,108.05612940181994,Clinton,20001093417,2020-11-19,S,PRIMXCELL,NA,0,0,TR,0.568,64.18,113,25,60,NA,107.16,Clinton,2020-10-08,0
